solver,grid,finest_cell,grid_cell
of_gamg,0,0,0
of_gamg,0,1,1
of_gamg,0,2,2
of_gamg,0,3,3
of_gamg,0,4,4
of_gamg,0,5,5
of_gamg,0,6,6
of_gamg,0,7,7
of_gamg,0,8,8
of_gamg,0,9,9
of_gamg,0,10,10
of_gamg,0,11,11
of_gamg,0,12,12
of_gamg,0,13,13
of_gamg,0,14,14
of_gamg,0,15,15
of_gamg,0,16,16
of_gamg,0,17,17
of_gamg,0,18,18
of_gamg,0,19,19
of_gamg,1,0,0
of_gamg,1,1,1
of_gamg,1,2,2
of_gamg,1,3,3
of_gamg,1,4,0
of_gamg,1,5,1
of_gamg,1,6,2
of_gamg,1,7,3
of_gamg,1,8,4
of_gamg,1,9,5
of_gamg,1,10,6
of_gamg,1,11,7
of_gamg,1,12,4
of_gamg,1,13,5
of_gamg,1,14,6
of_gamg,1,15,7
of_gamg,1,16,8
of_gamg,1,17,8
of_gamg,1,18,9
of_gamg,1,19,9
of_gamg,2,0,0
of_gamg,2,1,0
of_gamg,2,2,0
of_gamg,2,3,1
of_gamg,2,4,0
of_gamg,2,5,0
of_gamg,2,6,0
of_gamg,2,7,1
of_gamg,2,8,2
of_gamg,2,9,0
of_gamg,2,10,3
of_gamg,2,11,1
of_gamg,2,12,2
of_gamg,2,13,0
of_gamg,2,14,3
of_gamg,2,15,1
of_gamg,2,16,2
of_gamg,2,17,2
of_gamg,2,18,3
of_gamg,2,19,3
amgx,0,0,0
amgx,0,1,1
amgx,0,2,2
amgx,0,3,3
amgx,0,4,4
amgx,0,5,5
amgx,0,6,6
amgx,0,7,7
amgx,0,8,8
amgx,0,9,9
amgx,0,10,10
amgx,0,11,11
amgx,0,12,12
amgx,0,13,13
amgx,0,14,14
amgx,0,15,15
amgx,0,16,16
amgx,0,17,17
amgx,0,18,18
amgx,0,19,19
amgx,1,0,0
amgx,1,1,0
amgx,1,2,1
amgx,1,3,1
amgx,1,4,2
amgx,1,5,2
amgx,1,6,3
amgx,1,7,3
amgx,1,8,4
amgx,1,9,4
amgx,1,10,5
amgx,1,11,5
amgx,1,12,6
amgx,1,13,6
amgx,1,14,7
amgx,1,15,7
amgx,1,16,8
amgx,1,17,8
amgx,1,18,9
amgx,1,19,9
amgx,2,0,0
amgx,2,1,0
amgx,2,2,1
amgx,2,3,1
amgx,2,4,0
amgx,2,5,0
amgx,2,6,1
amgx,2,7,1
amgx,2,8,2
amgx,2,9,2
amgx,2,10,3
amgx,2,11,3
amgx,2,12,2
amgx,2,13,2
amgx,2,14,3
amgx,2,15,3
amgx,2,16,4
amgx,2,17,4
amgx,2,18,4
amgx,2,19,4
amgx,3,0,0
amgx,3,1,0
amgx,3,2,0
amgx,3,3,0
amgx,3,4,0
amgx,3,5,0
amgx,3,6,0
amgx,3,7,0
amgx,3,8,1
amgx,3,9,1
amgx,3,10,1
amgx,3,11,1
amgx,3,12,1
amgx,3,13,1
amgx,3,14,1
amgx,3,15,1
amgx,3,16,1
amgx,3,17,1
amgx,3,18,1
amgx,3,19,1
brae,0,0,0
brae,0,1,1
brae,0,2,2
brae,0,3,3
brae,0,4,4
brae,0,5,5
brae,0,6,6
brae,0,7,7
brae,0,8,8
brae,0,9,9
brae,0,10,10
brae,0,11,11
brae,0,12,12
brae,0,13,13
brae,0,14,14
brae,0,15,15
brae,0,16,16
brae,0,17,17
brae,0,18,18
brae,0,19,19
brae,1,0,0
brae,1,1,0
brae,1,2,1
brae,1,3,1
brae,1,4,2
brae,1,5,2
brae,1,6,3
brae,1,7,3
brae,1,8,4
brae,1,9,4
brae,1,10,5
brae,1,11,5
brae,1,12,6
brae,1,13,6
brae,1,14,7
brae,1,15,7
brae,1,16,8
brae,1,17,8
brae,1,18,9
brae,1,19,9
brae,2,0,0
brae,2,1,0
brae,2,2,1
brae,2,3,1
brae,2,4,0
brae,2,5,0
brae,2,6,1
brae,2,7,1
brae,2,8,2
brae,2,9,2
brae,2,10,3
brae,2,11,3
brae,2,12,2
brae,2,13,2
brae,2,14,3
brae,2,15,3
brae,2,16,4
brae,2,17,4
brae,2,18,4
brae,2,19,4
brae,3,0,0
brae,3,1,0
brae,3,2,0
brae,3,3,0
brae,3,4,0
brae,3,5,0
brae,3,6,0
brae,3,7,0
brae,3,8,1
brae,3,9,1
brae,3,10,1
brae,3,11,1
brae,3,12,1
brae,3,13,1
brae,3,14,1
brae,3,15,1
brae,3,16,1
brae,3,17,1
brae,3,18,1
brae,3,19,1
