cycle,cell,psi,residual,resnorm
0,0,0.0000000000000000e+00,2.0000000000000000e+00,1.0000000000000000e+00
0,1,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00
0,2,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00
0,3,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00
0,4,0.0000000000000000e+00,2.0000000000000000e+00,1.0000000000000000e+00
0,5,0.0000000000000000e+00,-0.0000000000000000e+00,1.0000000000000000e+00
0,6,0.0000000000000000e+00,-0.0000000000000000e+00,1.0000000000000000e+00
0,7,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00
0,8,0.0000000000000000e+00,2.0000000000000000e+00,1.0000000000000000e+00
0,9,0.0000000000000000e+00,-0.0000000000000000e+00,1.0000000000000000e+00
0,10,0.0000000000000000e+00,-0.0000000000000000e+00,1.0000000000000000e+00
0,11,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00
0,12,0.0000000000000000e+00,2.0000000000000000e+00,1.0000000000000000e+00
0,13,0.0000000000000000e+00,-0.0000000000000000e+00,1.0000000000000000e+00
0,14,0.0000000000000000e+00,-0.0000000000000000e+00,1.0000000000000000e+00
0,15,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00
0,16,0.0000000000000000e+00,3.0000000000000000e+00,1.0000000000000000e+00
0,17,0.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
0,18,0.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
0,19,0.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
1,0,8.7427222307102126e-01,8.8817841970012523e-16,4.8572257327350599e-16
1,1,6.2434656145936518e-01,-2.2204460492503131e-16,4.8572257327350599e-16
1,2,3.7565343854063465e-01,1.1102230246251565e-16,4.8572257327350599e-16
1,3,1.2572777692897849e-01,-5.5511151231257827e-17,4.8572257327350599e-16
1,4,8.7274233082472052e-01,1.3322676295501878e-15,4.8572257327350599e-16
1,5,6.2311402276643935e-01,1.1102230246251565e-16,4.8572257327350599e-16
1,6,3.7688597723356043e-01,2.2204460492503131e-16,4.8572257327350599e-16
1,7,1.2725766917527925e-01,-1.3877787807814457e-16,4.8572257327350599e-16
1,8,8.6632540828614291e-01,-4.4408920985006262e-16,4.8572257327350599e-16
1,9,6.1848122154811136e-01,-3.3306690738754696e-16,4.8572257327350599e-16
1,10,3.8151877845188864e-01,1.6653345369377348e-16,4.8572257327350599e-16
1,11,1.3367459171385718e-01,-5.5511151231257827e-17,4.8572257327350599e-16
1,12,8.4040348905788198e-01,8.8817841970012523e-16,4.8572257327350599e-16
1,13,6.0296667668797421e-01,3.3306690738754696e-16,4.8572257327350599e-16
1,14,3.9703332331202573e-01,-1.1102230246251565e-16,4.8572257327350599e-16
1,15,1.5959651094211794e-01,-1.6653345369377348e-16,4.8572257327350599e-16
1,16,7.3272536031529345e-01,-8.8817841970012523e-16,4.8572257327350599e-16
1,17,5.5594867283387794e-01,0.0000000000000000e+00,4.8572257327350599e-16
1,18,4.4405132716612206e-01,0.0000000000000000e+00,4.8572257327350599e-16
1,19,2.6727463968470661e-01,3.3306690738754696e-16,4.8572257327350599e-16
2,0,8.7427222307102126e-01,8.8817841970012523e-16,4.8572257327350599e-16
2,1,6.2434656145936518e-01,-2.2204460492503131e-16,4.8572257327350599e-16
2,2,3.7565343854063465e-01,1.1102230246251565e-16,4.8572257327350599e-16
2,3,1.2572777692897849e-01,-5.5511151231257827e-17,4.8572257327350599e-16
2,4,8.7274233082472052e-01,1.3322676295501878e-15,4.8572257327350599e-16
2,5,6.2311402276643935e-01,1.1102230246251565e-16,4.8572257327350599e-16
2,6,3.7688597723356043e-01,2.2204460492503131e-16,4.8572257327350599e-16
2,7,1.2725766917527925e-01,-1.3877787807814457e-16,4.8572257327350599e-16
2,8,8.6632540828614291e-01,-4.4408920985006262e-16,4.8572257327350599e-16
2,9,6.1848122154811136e-01,-3.3306690738754696e-16,4.8572257327350599e-16
2,10,3.8151877845188864e-01,1.6653345369377348e-16,4.8572257327350599e-16
2,11,1.3367459171385718e-01,-5.5511151231257827e-17,4.8572257327350599e-16
2,12,8.4040348905788198e-01,8.8817841970012523e-16,4.8572257327350599e-16
2,13,6.0296667668797421e-01,3.3306690738754696e-16,4.8572257327350599e-16
2,14,3.9703332331202573e-01,-1.1102230246251565e-16,4.8572257327350599e-16
2,15,1.5959651094211794e-01,-1.6653345369377348e-16,4.8572257327350599e-16
