level,fine_cell,coarse_cell,finest_cell
0,0,0,-1
0,1,0,-1
0,2,1,-1
0,3,1,-1
0,4,2,-1
0,5,2,-1
0,6,3,-1
0,7,3,-1
0,8,4,-1
0,9,4,-1
0,10,5,-1
0,11,5,-1
0,12,6,-1
0,13,6,-1
0,14,7,-1
0,15,7,-1
0,16,8,-1
0,17,8,-1
0,18,9,-1
0,19,9,-1
0,-1,0,0
0,-1,0,1
0,-1,1,2
0,-1,1,3
0,-1,2,4
0,-1,2,5
0,-1,3,6
0,-1,3,7
0,-1,4,8
0,-1,4,9
0,-1,5,10
0,-1,5,11
0,-1,6,12
0,-1,6,13
0,-1,7,14
0,-1,7,15
0,-1,8,16
0,-1,8,17
0,-1,9,18
0,-1,9,19
1,0,0,-1
1,1,1,-1
1,2,0,-1
1,3,1,-1
1,4,2,-1
1,5,3,-1
1,6,2,-1
1,7,3,-1
1,8,4,-1
1,9,4,-1
1,-1,0,0
1,-1,0,1
1,-1,1,2
1,-1,1,3
1,-1,0,4
1,-1,0,5
1,-1,1,6
1,-1,1,7
1,-1,2,8
1,-1,2,9
1,-1,3,10
1,-1,3,11
1,-1,2,12
1,-1,2,13
1,-1,3,14
1,-1,3,15
1,-1,4,16
1,-1,4,17
1,-1,4,18
1,-1,4,19
2,0,0,-1
2,1,0,-1
2,2,1,-1
2,3,1,-1
2,4,1,-1
2,-1,0,0
2,-1,0,1
2,-1,0,2
2,-1,0,3
2,-1,0,4
2,-1,0,5
2,-1,0,6
2,-1,0,7
2,-1,1,8
2,-1,1,9
2,-1,1,10
2,-1,1,11
2,-1,1,12
2,-1,1,13
2,-1,1,14
2,-1,1,15
2,-1,1,16
2,-1,1,17
2,-1,1,18
2,-1,1,19
