grid,kind,index,owner,neighbour,value
0,diag,0,0,0,4
0,diag,1,1,1,3
0,diag,2,2,2,3
0,diag,3,3,3,4
0,diag,4,4,4,5
0,diag,5,5,5,4
0,diag,6,6,6,4
0,diag,7,7,7,5
0,diag,8,8,8,5
0,diag,9,9,9,4
0,diag,10,10,10,4
0,diag,11,11,11,5
0,diag,12,12,12,5
0,diag,13,13,13,4
0,diag,14,14,14,4
0,diag,15,15,15,5
0,diag,16,16,16,6
0,diag,17,17,17,5
0,diag,18,18,18,5
0,diag,19,19,19,6
0,upper,0,0,1,-1
0,lower,0,0,1,-1
0,upper,1,0,4,-1
0,lower,1,0,4,-1
0,upper,2,1,2,-1
0,lower,2,1,2,-1
0,upper,3,1,5,-1
0,lower,3,1,5,-1
0,upper,4,2,3,-1
0,lower,4,2,3,-1
0,upper,5,2,6,-1
0,lower,5,2,6,-1
0,upper,6,3,7,-1
0,lower,6,3,7,-1
0,upper,7,4,5,-1
0,lower,7,4,5,-1
0,upper,8,4,8,-1
0,lower,8,4,8,-1
0,upper,9,5,6,-1
0,lower,9,5,6,-1
0,upper,10,5,9,-1
0,lower,10,5,9,-1
0,upper,11,6,7,-1
0,lower,11,6,7,-1
0,upper,12,6,10,-1
0,lower,12,6,10,-1
0,upper,13,7,11,-1
0,lower,13,7,11,-1
0,upper,14,8,9,-1
0,lower,14,8,9,-1
0,upper,15,8,12,-1
0,lower,15,8,12,-1
0,upper,16,9,10,-1
0,lower,16,9,10,-1
0,upper,17,9,13,-1
0,lower,17,9,13,-1
0,upper,18,10,11,-1
0,lower,18,10,11,-1
0,upper,19,10,14,-1
0,lower,19,10,14,-1
0,upper,20,11,15,-1
0,lower,20,11,15,-1
0,upper,21,12,13,-1
0,lower,21,12,13,-1
0,upper,22,12,16,-1
0,lower,22,12,16,-1
0,upper,23,13,14,-1
0,lower,23,13,14,-1
0,upper,24,13,17,-1
0,lower,24,13,17,-1
0,upper,25,14,15,-1
0,lower,25,14,15,-1
0,upper,26,14,18,-1
0,lower,26,14,18,-1
0,upper,27,15,19,-1
0,lower,27,15,19,-1
0,upper,28,16,17,-1
0,lower,28,16,17,-1
0,upper,29,17,18,-1
0,lower,29,17,18,-1
0,upper,30,18,19,-1
0,lower,30,18,19,-1
1,diag,0,0,0,5
1,diag,1,1,1,5
1,diag,2,2,2,7
1,diag,3,3,3,7
1,diag,4,4,4,7
1,diag,5,5,5,7
1,diag,6,6,6,7
1,diag,7,7,7,7
1,diag,8,8,8,9
1,diag,9,9,9,9
1,upper,0,0,1,-1
1,lower,0,0,1,-1
1,upper,1,0,2,-2
1,lower,1,0,2,-2
1,upper,2,1,3,-2
1,lower,2,1,3,-2
1,upper,3,2,3,-1
1,lower,3,2,3,-1
1,upper,4,2,4,-2
1,lower,4,2,4,-2
1,upper,5,3,5,-2
1,lower,5,3,5,-2
1,upper,6,4,5,-1
1,lower,6,4,5,-1
1,upper,7,4,6,-2
1,lower,7,4,6,-2
1,upper,8,5,7,-2
1,lower,8,5,7,-2
1,upper,9,6,7,-1
1,lower,9,6,7,-1
1,upper,10,6,8,-2
1,lower,10,6,8,-2
1,upper,11,7,9,-2
1,lower,11,7,9,-2
1,upper,12,8,9,-1
1,lower,12,8,9,-1
2,diag,0,0,0,8
2,diag,1,1,1,8
2,diag,2,2,2,10
2,diag,3,3,3,10
2,diag,4,4,4,16
2,upper,0,0,1,-2
2,lower,0,0,1,-2
2,upper,1,0,2,-2
2,lower,1,0,2,-2
2,upper,2,1,3,-2
2,lower,2,1,3,-2
2,upper,3,2,3,-2
2,lower,3,2,3,-2
2,upper,4,2,4,-2
2,lower,4,2,4,-2
2,upper,5,3,4,-2
2,lower,5,3,4,-2
3,diag,0,0,0,12
3,diag,1,1,1,24
3,upper,0,0,1,-4
3,lower,0,0,1,-4
