solver,label,cycle,resnorm,err_inf,fine_sweeps,fine_spmv
of_gamg,OpenFOAM GAMG,0,1.000000000000e+00,8.742722230710e-01,0,0
of_gamg,OpenFOAM GAMG,1,9.623191872161e-03,1.491346156820e-02,4,4
of_gamg,OpenFOAM GAMG,2,3.919379011702e-04,7.197403397262e-04,8,8
of_gamg,OpenFOAM GAMG,3,1.501883259697e-05,2.410580166756e-05,12,12
of_gamg,OpenFOAM GAMG,4,6.670947141629e-07,8.488399523277e-07,16,16
of_gamg,OpenFOAM GAMG,5,2.968424511355e-08,5.830580740440e-08,20,20
of_gamg,OpenFOAM GAMG,6,1.249906749529e-09,2.996247805420e-09,24,24
of_gamg,OpenFOAM GAMG,7,6.306920858583e-11,1.481139655368e-10,28,28
of_gamg,OpenFOAM GAMG,8,2.936428877831e-12,6.030842492066e-12,32,32
of_gamg,OpenFOAM GAMG,9,1.358754378852e-13,1.586508702189e-13,36,36
of_gamg,OpenFOAM GAMG,10,6.879417670445e-15,1.121325254871e-14,40,40
of_gamg,OpenFOAM GAMG,11,3.885780586188e-16,5.551115123126e-16,44,44
of_gamg,OpenFOAM GAMG,12,2.458350983099e-16,3.330669073875e-16,48,48
of_gamg,OpenFOAM GAMG,13,2.141144404634e-16,3.330669073875e-16,52,52
of_gamg,OpenFOAM GAMG,14,2.141144404634e-16,3.330669073875e-16,56,56
of_gamg,OpenFOAM GAMG,15,2.141144404634e-16,3.330669073875e-16,60,60
of_gamg,OpenFOAM GAMG,16,2.141144404634e-16,3.330669073875e-16,64,64
of_gamg,OpenFOAM GAMG,17,2.141144404634e-16,3.330669073875e-16,68,68
of_gamg,OpenFOAM GAMG,18,2.141144404634e-16,3.330669073875e-16,72,72
of_gamg,OpenFOAM GAMG,19,2.141144404634e-16,3.330669073875e-16,76,76
of_gamg,OpenFOAM GAMG,20,2.141144404634e-16,3.330669073875e-16,80,80
of_gamg,OpenFOAM GAMG,21,2.141144404634e-16,3.330669073875e-16,84,84
of_gamg,OpenFOAM GAMG,22,2.141144404634e-16,3.330669073875e-16,88,88
of_gamg,OpenFOAM GAMG,23,2.141144404634e-16,3.330669073875e-16,92,92
of_gamg,OpenFOAM GAMG,24,2.141144404634e-16,3.330669073875e-16,96,96
of_gamg,OpenFOAM GAMG,25,2.141144404634e-16,3.330669073875e-16,100,100
of_gamg,OpenFOAM GAMG,26,2.141144404634e-16,3.330669073875e-16,104,104
of_gamg,OpenFOAM GAMG,27,2.141144404634e-16,3.330669073875e-16,108,108
of_gamg,OpenFOAM GAMG,28,2.141144404634e-16,3.330669073875e-16,112,112
of_gamg,OpenFOAM GAMG,29,2.141144404634e-16,3.330669073875e-16,116,116
of_gamg,OpenFOAM GAMG,30,2.141144404634e-16,3.330669073875e-16,120,120
amgx,AMGX (PCG+AGGREGATION),0,1.000000000000e+00,8.742722230710e-01,0,0
amgx,AMGX (PCG+AGGREGATION),1,4.877051143889e-16,4.440892098501e-16,4,4
amgx,AMGX (PCG+AGGREGATION),2,4.877051143889e-16,4.440892098501e-16,8,8
amgx,AMGX (PCG+AGGREGATION),3,4.877051143889e-16,4.440892098501e-16,12,12
amgx,AMGX (PCG+AGGREGATION),4,4.877051143889e-16,4.440892098501e-16,16,16
amgx,AMGX (PCG+AGGREGATION),5,4.877051143889e-16,4.440892098501e-16,20,20
amgx,AMGX (PCG+AGGREGATION),6,4.877051143889e-16,4.440892098501e-16,24,24
amgx,AMGX (PCG+AGGREGATION),7,4.877051143889e-16,4.440892098501e-16,28,28
amgx,AMGX (PCG+AGGREGATION),8,4.877051143889e-16,4.440892098501e-16,32,32
amgx,AMGX (PCG+AGGREGATION),9,4.877051143889e-16,4.440892098501e-16,36,36
amgx,AMGX (PCG+AGGREGATION),10,4.877051143889e-16,4.440892098501e-16,40,40
amgx,AMGX (PCG+AGGREGATION),11,4.877051143889e-16,4.440892098501e-16,44,44
amgx,AMGX (PCG+AGGREGATION),12,4.877051143889e-16,4.440892098501e-16,48,48
amgx,AMGX (PCG+AGGREGATION),13,4.877051143889e-16,4.440892098501e-16,52,52
amgx,AMGX (PCG+AGGREGATION),14,4.877051143889e-16,4.440892098501e-16,56,56
