solver,grid,row,col,value
of_gamg,0,0,0,4.000000000000e+00
of_gamg,0,0,1,-1.000000000000e+00
of_gamg,0,0,4,-1.000000000000e+00
of_gamg,0,1,0,-1.000000000000e+00
of_gamg,0,1,1,3.000000000000e+00
of_gamg,0,1,2,-1.000000000000e+00
of_gamg,0,1,5,-1.000000000000e+00
of_gamg,0,2,1,-1.000000000000e+00
of_gamg,0,2,2,3.000000000000e+00
of_gamg,0,2,3,-1.000000000000e+00
of_gamg,0,2,6,-1.000000000000e+00
of_gamg,0,3,2,-1.000000000000e+00
of_gamg,0,3,3,4.000000000000e+00
of_gamg,0,3,7,-1.000000000000e+00
of_gamg,0,4,0,-1.000000000000e+00
of_gamg,0,4,4,5.000000000000e+00
of_gamg,0,4,5,-1.000000000000e+00
of_gamg,0,4,8,-1.000000000000e+00
of_gamg,0,5,1,-1.000000000000e+00
of_gamg,0,5,4,-1.000000000000e+00
of_gamg,0,5,5,4.000000000000e+00
of_gamg,0,5,6,-1.000000000000e+00
of_gamg,0,5,9,-1.000000000000e+00
of_gamg,0,6,2,-1.000000000000e+00
of_gamg,0,6,5,-1.000000000000e+00
of_gamg,0,6,6,4.000000000000e+00
of_gamg,0,6,7,-1.000000000000e+00
of_gamg,0,6,10,-1.000000000000e+00
of_gamg,0,7,3,-1.000000000000e+00
of_gamg,0,7,6,-1.000000000000e+00
of_gamg,0,7,7,5.000000000000e+00
of_gamg,0,7,11,-1.000000000000e+00
of_gamg,0,8,4,-1.000000000000e+00
of_gamg,0,8,8,5.000000000000e+00
of_gamg,0,8,9,-1.000000000000e+00
of_gamg,0,8,12,-1.000000000000e+00
of_gamg,0,9,5,-1.000000000000e+00
of_gamg,0,9,8,-1.000000000000e+00
of_gamg,0,9,9,4.000000000000e+00
of_gamg,0,9,10,-1.000000000000e+00
of_gamg,0,9,13,-1.000000000000e+00
of_gamg,0,10,6,-1.000000000000e+00
of_gamg,0,10,9,-1.000000000000e+00
of_gamg,0,10,10,4.000000000000e+00
of_gamg,0,10,11,-1.000000000000e+00
of_gamg,0,10,14,-1.000000000000e+00
of_gamg,0,11,7,-1.000000000000e+00
of_gamg,0,11,10,-1.000000000000e+00
of_gamg,0,11,11,5.000000000000e+00
of_gamg,0,11,15,-1.000000000000e+00
of_gamg,0,12,8,-1.000000000000e+00
of_gamg,0,12,12,5.000000000000e+00
of_gamg,0,12,13,-1.000000000000e+00
of_gamg,0,12,16,-1.000000000000e+00
of_gamg,0,13,9,-1.000000000000e+00
of_gamg,0,13,12,-1.000000000000e+00
of_gamg,0,13,13,4.000000000000e+00
of_gamg,0,13,14,-1.000000000000e+00
of_gamg,0,13,17,-1.000000000000e+00
of_gamg,0,14,10,-1.000000000000e+00
of_gamg,0,14,13,-1.000000000000e+00
of_gamg,0,14,14,4.000000000000e+00
of_gamg,0,14,15,-1.000000000000e+00
of_gamg,0,14,18,-1.000000000000e+00
of_gamg,0,15,11,-1.000000000000e+00
of_gamg,0,15,14,-1.000000000000e+00
of_gamg,0,15,15,5.000000000000e+00
of_gamg,0,15,19,-1.000000000000e+00
of_gamg,0,16,12,-1.000000000000e+00
of_gamg,0,16,16,6.000000000000e+00
of_gamg,0,16,17,-1.000000000000e+00
of_gamg,0,17,13,-1.000000000000e+00
of_gamg,0,17,16,-1.000000000000e+00
of_gamg,0,17,17,5.000000000000e+00
of_gamg,0,17,18,-1.000000000000e+00
of_gamg,0,18,14,-1.000000000000e+00
of_gamg,0,18,17,-1.000000000000e+00
of_gamg,0,18,18,5.000000000000e+00
of_gamg,0,18,19,-1.000000000000e+00
of_gamg,0,19,15,-1.000000000000e+00
of_gamg,0,19,18,-1.000000000000e+00
of_gamg,0,19,19,6.000000000000e+00
of_gamg,1,0,0,7.000000000000e+00
of_gamg,1,0,1,-2.000000000000e+00
of_gamg,1,0,4,-1.000000000000e+00
of_gamg,1,1,0,-2.000000000000e+00
of_gamg,1,1,1,5.000000000000e+00
of_gamg,1,1,2,-2.000000000000e+00
of_gamg,1,1,5,-1.000000000000e+00
of_gamg,1,2,1,-2.000000000000e+00
of_gamg,1,2,2,5.000000000000e+00
of_gamg,1,2,3,-2.000000000000e+00
of_gamg,1,2,6,-1.000000000000e+00
of_gamg,1,3,2,-2.000000000000e+00
of_gamg,1,3,3,7.000000000000e+00
of_gamg,1,3,7,-1.000000000000e+00
of_gamg,1,4,0,-1.000000000000e+00
of_gamg,1,4,4,8.000000000000e+00
of_gamg,1,4,5,-2.000000000000e+00
of_gamg,1,4,8,-1.000000000000e+00
of_gamg,1,5,1,-1.000000000000e+00
of_gamg,1,5,4,-2.000000000000e+00
of_gamg,1,5,5,6.000000000000e+00
of_gamg,1,5,6,-2.000000000000e+00
of_gamg,1,5,8,-1.000000000000e+00
of_gamg,1,6,2,-1.000000000000e+00
of_gamg,1,6,5,-2.000000000000e+00
of_gamg,1,6,6,6.000000000000e+00
of_gamg,1,6,7,-2.000000000000e+00
of_gamg,1,6,9,-1.000000000000e+00
of_gamg,1,7,3,-1.000000000000e+00
of_gamg,1,7,6,-2.000000000000e+00
of_gamg,1,7,7,8.000000000000e+00
of_gamg,1,7,9,-1.000000000000e+00
of_gamg,1,8,4,-1.000000000000e+00
of_gamg,1,8,5,-1.000000000000e+00
of_gamg,1,8,8,9.000000000000e+00
of_gamg,1,8,9,-1.000000000000e+00
of_gamg,1,9,6,-1.000000000000e+00
of_gamg,1,9,7,-1.000000000000e+00
of_gamg,1,9,8,-1.000000000000e+00
of_gamg,1,9,9,9.000000000000e+00
of_gamg,2,0,0,1.300000000000e+01
of_gamg,2,0,1,-2.000000000000e+00
of_gamg,2,0,2,-4.000000000000e+00
of_gamg,2,0,3,-3.000000000000e+00
of_gamg,2,1,0,-2.000000000000e+00
of_gamg,2,1,1,1.300000000000e+01
of_gamg,2,1,3,-3.000000000000e+00
of_gamg,2,2,0,-4.000000000000e+00
of_gamg,2,2,2,1.500000000000e+01
of_gamg,2,2,3,-1.000000000000e+00
of_gamg,2,3,0,-3.000000000000e+00
of_gamg,2,3,1,-3.000000000000e+00
of_gamg,2,3,2,-1.000000000000e+00
of_gamg,2,3,3,1.300000000000e+01
amgx,0,0,0,4.000000000000e+00
amgx,0,0,1,-1.000000000000e+00
amgx,0,0,4,-1.000000000000e+00
amgx,0,1,0,-1.000000000000e+00
amgx,0,1,1,3.000000000000e+00
amgx,0,1,2,-1.000000000000e+00
amgx,0,1,5,-1.000000000000e+00
amgx,0,2,1,-1.000000000000e+00
amgx,0,2,2,3.000000000000e+00
amgx,0,2,3,-1.000000000000e+00
amgx,0,2,6,-1.000000000000e+00
amgx,0,3,2,-1.000000000000e+00
amgx,0,3,3,4.000000000000e+00
amgx,0,3,7,-1.000000000000e+00
amgx,0,4,0,-1.000000000000e+00
amgx,0,4,4,5.000000000000e+00
amgx,0,4,5,-1.000000000000e+00
amgx,0,4,8,-1.000000000000e+00
amgx,0,5,1,-1.000000000000e+00
amgx,0,5,4,-1.000000000000e+00
amgx,0,5,5,4.000000000000e+00
amgx,0,5,6,-1.000000000000e+00
amgx,0,5,9,-1.000000000000e+00
amgx,0,6,2,-1.000000000000e+00
amgx,0,6,5,-1.000000000000e+00
amgx,0,6,6,4.000000000000e+00
amgx,0,6,7,-1.000000000000e+00
amgx,0,6,10,-1.000000000000e+00
amgx,0,7,3,-1.000000000000e+00
amgx,0,7,6,-1.000000000000e+00
amgx,0,7,7,5.000000000000e+00
amgx,0,7,11,-1.000000000000e+00
amgx,0,8,4,-1.000000000000e+00
amgx,0,8,8,5.000000000000e+00
amgx,0,8,9,-1.000000000000e+00
amgx,0,8,12,-1.000000000000e+00
amgx,0,9,5,-1.000000000000e+00
amgx,0,9,8,-1.000000000000e+00
amgx,0,9,9,4.000000000000e+00
amgx,0,9,10,-1.000000000000e+00
amgx,0,9,13,-1.000000000000e+00
amgx,0,10,6,-1.000000000000e+00
