kind,index,owner,neighbour,value
diag,0,0,0,4
diag,1,1,1,3
diag,2,2,2,3
diag,3,3,3,4
diag,4,4,4,5
diag,5,5,5,4
diag,6,6,6,4
diag,7,7,7,5
diag,8,8,8,5
diag,9,9,9,4
diag,10,10,10,4
diag,11,11,11,5
diag,12,12,12,5
diag,13,13,13,4
diag,14,14,14,4
diag,15,15,15,5
diag,16,16,16,6
diag,17,17,17,5
diag,18,18,18,5
diag,19,19,19,6
upper,0,0,1,-1
upper,1,0,4,-1
upper,2,1,2,-1
upper,3,1,5,-1
upper,4,2,3,-1
upper,5,2,6,-1
upper,6,3,7,-1
upper,7,4,5,-1
upper,8,4,8,-1
upper,9,5,6,-1
upper,10,5,9,-1
upper,11,6,7,-1
upper,12,6,10,-1
upper,13,7,11,-1
upper,14,8,9,-1
upper,15,8,12,-1
upper,16,9,10,-1
upper,17,9,13,-1
upper,18,10,11,-1
upper,19,10,14,-1
upper,20,11,15,-1
upper,21,12,13,-1
upper,22,12,16,-1
upper,23,13,14,-1
upper,24,13,17,-1
upper,25,14,15,-1
upper,26,14,18,-1
upper,27,15,19,-1
upper,28,16,17,-1
upper,29,17,18,-1
upper,30,18,19,-1
lower,0,0,1,-1
lower,1,0,4,-1
lower,2,1,2,-1
lower,3,1,5,-1
lower,4,2,3,-1
lower,5,2,6,-1
lower,6,3,7,-1
lower,7,4,5,-1
lower,8,4,8,-1
lower,9,5,6,-1
lower,10,5,9,-1
lower,11,6,7,-1
lower,12,6,10,-1
lower,13,7,11,-1
lower,14,8,9,-1
lower,15,8,12,-1
lower,16,9,10,-1
lower,17,9,13,-1
lower,18,10,11,-1
lower,19,10,14,-1
lower,20,11,15,-1
lower,21,12,13,-1
lower,22,12,16,-1
lower,23,13,14,-1
lower,24,13,17,-1
lower,25,14,15,-1
lower,26,14,18,-1
lower,27,15,19,-1
lower,28,16,17,-1
lower,29,17,18,-1
lower,30,18,19,-1
