solver,step,grid,cell,x,r
of_gamg,0,0,0,0.000000000000e+00,2.000000000000e+00
of_gamg,0,0,1,0.000000000000e+00,0.000000000000e+00
of_gamg,0,0,2,0.000000000000e+00,0.000000000000e+00
of_gamg,0,0,3,0.000000000000e+00,0.000000000000e+00
of_gamg,0,0,4,0.000000000000e+00,2.000000000000e+00
of_gamg,0,0,5,0.000000000000e+00,-0.000000000000e+00
of_gamg,0,0,6,0.000000000000e+00,-0.000000000000e+00
of_gamg,0,0,7,0.000000000000e+00,0.000000000000e+00
of_gamg,0,0,8,0.000000000000e+00,2.000000000000e+00
of_gamg,0,0,9,0.000000000000e+00,-0.000000000000e+00
of_gamg,0,0,10,0.000000000000e+00,-0.000000000000e+00
of_gamg,0,0,11,0.000000000000e+00,0.000000000000e+00
of_gamg,0,0,12,0.000000000000e+00,2.000000000000e+00
of_gamg,0,0,13,0.000000000000e+00,-0.000000000000e+00
of_gamg,0,0,14,0.000000000000e+00,-0.000000000000e+00
of_gamg,0,0,15,0.000000000000e+00,0.000000000000e+00
of_gamg,0,0,16,0.000000000000e+00,3.000000000000e+00
of_gamg,0,0,17,0.000000000000e+00,1.000000000000e+00
of_gamg,0,0,18,0.000000000000e+00,1.000000000000e+00
of_gamg,0,0,19,0.000000000000e+00,1.000000000000e+00
of_gamg,1,1,0,0.000000000000e+00,4.000000000000e+00
of_gamg,1,1,1,0.000000000000e+00,0.000000000000e+00
of_gamg,1,1,2,0.000000000000e+00,0.000000000000e+00
of_gamg,1,1,3,0.000000000000e+00,0.000000000000e+00
of_gamg,1,1,4,0.000000000000e+00,4.000000000000e+00
of_gamg,1,1,5,0.000000000000e+00,0.000000000000e+00
of_gamg,1,1,6,0.000000000000e+00,0.000000000000e+00
of_gamg,1,1,7,0.000000000000e+00,0.000000000000e+00
of_gamg,1,1,8,0.000000000000e+00,4.000000000000e+00
of_gamg,1,1,9,0.000000000000e+00,2.000000000000e+00
of_gamg,2,2,0,0.000000000000e+00,4.000000000000e+00
of_gamg,2,2,1,0.000000000000e+00,0.000000000000e+00
of_gamg,2,2,2,0.000000000000e+00,8.000000000000e+00
of_gamg,2,2,3,0.000000000000e+00,2.000000000000e+00
of_gamg,3,2,0,6.582268370607e-01,-1.776356839400e-15
of_gamg,3,2,1,1.952875399361e-01,-2.220446049250e-16
of_gamg,3,2,2,7.360223642173e-01,3.552713678801e-15
of_gamg,3,2,3,4.074281150160e-01,-4.440892098501e-16
of_gamg,4,1,0,8.646394340484e-01,1.028154952077e-01
of_gamg,4,1,1,6.582268370607e-01,-1.025475429789e-01
of_gamg,4,1,2,4.228913738019e-01,9.603681728282e-02
of_gamg,4,1,3,2.159630305796e-01,-4.887619808307e-01
of_gamg,4,1,4,8.388378594249e-01,2.561742481870e-02
of_gamg,4,1,5,6.135250266241e-01,2.236111111111e-01
of_gamg,4,1,6,4.621139510117e-01,-3.973784167554e-01
of_gamg,4,1,7,1.771964856230e-01,9.358993863786e-02
of_gamg,4,1,8,6.446308129215e-01,2.165646077387e-02
of_gamg,4,1,9,3.709708910188e-01,-5.479676961306e-02
of_gamg,5,1,0,8.793273619352e-01,-2.423050579390e-02
of_gamg,5,1,1,6.435924996197e-01,6.321610893470e-02
of_gamg,5,1,2,4.362450022821e-01,-1.838501494459e-01
of_gamg,5,1,3,1.499552128839e-01,-9.510863395841e-03
of_gamg,5,1,4,8.438760285131e-01,8.004031304175e-02
of_gamg,5,1,5,6.500338785985e-01,-9.664641901588e-02
of_gamg,5,1,6,4.102794369573e-01,-3.114611989950e-02
of_gamg,5,1,7,1.676856222272e-01,-1.212439310782e-02
of_gamg,5,1,8,6.516534220145e-01,-1.212439310782e-02
of_gamg,5,1,9,3.588464979110e-01,0.000000000000e+00
of_gamg,6,1,0,8.758658611075e-01,3.208959443848e-02
of_gamg,6,1,1,6.548511210755e-01,-7.557367836477e-02
of_gamg,6,1,2,4.039784209752e-01,-3.540439145414e-02
of_gamg,6,1,3,1.393774948825e-01,-6.400002751502e-03
of_gamg,6,1,4,8.534483800399e-01,-2.359131565018e-02
of_gamg,6,1,5,6.389933628474e-01,-3.000819505085e-02
of_gamg,6,1,6,3.960304815059e-01,-1.526214354200e-02
of_gamg,6,1,7,1.612856194757e-01,-2.462138038993e-03
of_gamg,6,1,8,6.501431378665e-01,-2.462138038993e-03
of_gamg,6,1,9,3.563843598720e-01,0.000000000000e+00
of_gamg,7,0,0,8.795653928099e-01,-5.657536332010e-03
of_gamg,7,0,1,6.396509428499e-01,-5.048339275114e-03
of_gamg,7,0,2,3.961524174051e-01,-1.875633866506e-02
of_gamg,7,0,3,1.347336601336e-01,-3.000646645911e-03
of_gamg,7,0,4,8.729530920577e-01,2.279395883999e-02
of_gamg,7,0,5,6.381866790595e-01,-1.416927614591e-02
of_gamg,7,0,6,3.953163105669e-01,-1.032797508652e-02
of_gamg,7,0,7,1.397815764832e-01,-3.065298868408e-02
of_gamg,7,0,8,8.698073472592e-01,-2.039640682712e-02
of_gamg,7,0,9,6.306570946176e-01,1.167191808596e-02
of_gamg,7,0,10,3.968165942331e-01,-3.807315179775e-02
of_gamg,7,0,11,1.382049230316e-01,2.682669555523e-02
of_gamg,7,0,12,8.250301427934e-01,1.227057803435e-01
of_gamg,7,0,13,6.294896760047e-01,-1.508303110956e-01
