solver,step,iter,phase,grid,ngrid,detail,resnorm
of_gamg,0,1,krylov_start,0,20,"GAMG cycle begins (standalone, no Krylov outer)",1.000000000000e+00
of_gamg,1,1,restrict,1,10,inject 20 -> 10 cells,1.000000000000e+00
of_gamg,2,1,restrict,2,4,inject 10 -> 4 cells,1.000000000000e+00
of_gamg,3,1,coarse_solve,2,4,"4 cells, dense direct solve",1.000000000000e+00
of_gamg,4,1,prolong,1,10,"broadcast 4 -> 10, correction scale 1.000",1.000000000000e+00
of_gamg,5,1,postsmooth,1,10,Gauss-Seidel,1.000000000000e+00
of_gamg,6,1,postsmooth,1,10,Gauss-Seidel,1.000000000000e+00
of_gamg,7,1,prolong,0,20,"broadcast 10 -> 20, correction scale 0.992",1.000000000000e+00
of_gamg,8,1,postsmooth,0,20,finest-grid Gauss-Seidel,1.000000000000e+00
of_gamg,9,1,postsmooth,0,20,finest-grid Gauss-Seidel,1.000000000000e+00
of_gamg,10,1,krylov_update,0,20,cycle complete,8.845396734046e-03
of_gamg,11,2,krylov_start,0,20,"GAMG cycle begins (standalone, no Krylov outer)",9.623191872161e-03
of_gamg,12,2,restrict,1,10,inject 20 -> 10 cells,9.623191872161e-03
of_gamg,13,2,restrict,2,4,inject 10 -> 4 cells,9.623191872161e-03
of_gamg,14,2,coarse_solve,2,4,"4 cells, dense direct solve",9.623191872161e-03
of_gamg,15,2,prolong,1,10,"broadcast 4 -> 10, correction scale 1.000",9.623191872161e-03
of_gamg,16,2,postsmooth,1,10,Gauss-Seidel,9.623191872161e-03
of_gamg,17,2,postsmooth,1,10,Gauss-Seidel,9.623191872161e-03
of_gamg,18,2,prolong,0,20,"broadcast 10 -> 20, correction scale 1.114",9.623191872161e-03
of_gamg,19,2,postsmooth,0,20,finest-grid Gauss-Seidel,9.623191872161e-03
of_gamg,20,2,postsmooth,0,20,finest-grid Gauss-Seidel,9.623191872161e-03
of_gamg,21,2,krylov_update,0,20,cycle complete,3.836687414942e-04
of_gamg,22,3,krylov_start,0,20,"GAMG cycle begins (standalone, no Krylov outer)",3.919379011702e-04
of_gamg,23,3,restrict,1,10,inject 20 -> 10 cells,3.919379011702e-04
of_gamg,24,3,restrict,2,4,inject 10 -> 4 cells,3.919379011702e-04
of_gamg,25,3,coarse_solve,2,4,"4 cells, dense direct solve",3.919379011702e-04
of_gamg,26,3,prolong,1,10,"broadcast 4 -> 10, correction scale 1.000",3.919379011702e-04
of_gamg,27,3,postsmooth,1,10,Gauss-Seidel,3.919379011702e-04
of_gamg,28,3,postsmooth,1,10,Gauss-Seidel,3.919379011702e-04
of_gamg,29,3,prolong,0,20,"broadcast 10 -> 20, correction scale 1.040",3.919379011702e-04
of_gamg,30,3,postsmooth,0,20,finest-grid Gauss-Seidel,3.919379011702e-04
of_gamg,31,3,postsmooth,0,20,finest-grid Gauss-Seidel,3.919379011702e-04
of_gamg,32,3,krylov_update,0,20,cycle complete,1.474121527637e-05
of_gamg,33,4,krylov_start,0,20,"GAMG cycle begins (standalone, no Krylov outer)",1.501883259697e-05
of_gamg,34,4,restrict,1,10,inject 20 -> 10 cells,1.501883259697e-05
of_gamg,35,4,restrict,2,4,inject 10 -> 4 cells,1.501883259697e-05
of_gamg,36,4,coarse_solve,2,4,"4 cells, dense direct solve",1.501883259697e-05
of_gamg,37,4,prolong,1,10,"broadcast 4 -> 10, correction scale 1.000",1.501883259697e-05
of_gamg,38,4,postsmooth,1,10,Gauss-Seidel,1.501883259697e-05
of_gamg,39,4,postsmooth,1,10,Gauss-Seidel,1.501883259697e-05
of_gamg,40,4,prolong,0,20,"broadcast 10 -> 20, correction scale 1.020",1.501883259697e-05
of_gamg,41,4,postsmooth,0,20,finest-grid Gauss-Seidel,1.501883259697e-05
of_gamg,42,4,postsmooth,0,20,finest-grid Gauss-Seidel,1.501883259697e-05
of_gamg,43,4,krylov_update,0,20,cycle complete,5.951138319994e-07
of_gamg,44,5,krylov_start,0,20,"GAMG cycle begins (standalone, no Krylov outer)",6.670947141629e-07
of_gamg,45,5,restrict,1,10,inject 20 -> 10 cells,6.670947141629e-07
of_gamg,46,5,restrict,2,4,inject 10 -> 4 cells,6.670947141629e-07
of_gamg,47,5,coarse_solve,2,4,"4 cells, dense direct solve",6.670947141629e-07
of_gamg,48,5,prolong,1,10,"broadcast 4 -> 10, correction scale 1.000",6.670947141629e-07
of_gamg,49,5,postsmooth,1,10,Gauss-Seidel,6.670947141629e-07
of_gamg,50,5,postsmooth,1,10,Gauss-Seidel,6.670947141629e-07
of_gamg,51,5,prolong,0,20,"broadcast 10 -> 20, correction scale 1.058",6.670947141629e-07
of_gamg,52,5,postsmooth,0,20,finest-grid Gauss-Seidel,6.670947141629e-07
of_gamg,53,5,postsmooth,0,20,finest-grid Gauss-Seidel,6.670947141629e-07
of_gamg,54,5,krylov_update,0,20,cycle complete,2.642381020736e-08
of_gamg,55,6,krylov_start,0,20,"GAMG cycle begins (standalone, no Krylov outer)",2.968424511355e-08
